		gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau
		Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
		Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene	transcripts																																				
A2M	all	0.07082881823465961	0.013236364283612218	10	10	0.7776068673513029	-0.00552045677276794	9	9	0.32156698176096776	0.00489042116942852	9	9	0.5467756037595886	-0.04860596907575596	10	10	0.47573437634515825	0.025350437234435547	10	10	0.9237929096984403	-0.02301429225042025	10	10	0.703942343833937	0.1425952914921412	9	9	0.432941060508226	0.04450782743299262	10	10	0.6343999938523295	0.0693831783177307	9	9
A4GALT	ENST00000249005.2,ENST00000381278.3	0.5425086867762097	-0.003068286226316401	10	10	0.2042903700899581	-0.006981109115025895	10	10	0.3764099741140601	-0.0217918053778951	10	10	0.8569448418168403	0.027064222080450243	10	10	0.34124758633282326	-0.033877343025855294	10	10	0.7315948744064955	-0.041861855848284835	10	10	0.9523704097280253	0.010445728949369173	10	10	0.16223105470167432	-0.26994885049730294	10	10	0.32649324853989337	-0.21000801484637102	10	10
A4GALT	ENST00000401850.1	0.5962564674156547	-0.015205769245144019	10	10	0.03418017116008868	0.029815655038228393	10	10	0.5796662958532031	0.016489316247311436	10	10	0.07856636649167886	0.10138147533906407	10	10	0.703144306632169	-0.035659943724761674	10	10	0.36762137042719545	0.033184858782981996	10	10	0.17488448431291836	0.28887356292517835	10	10	0.6186209566077072	0.13641864311321575	9	9	0.46120850769532673	0.2247528461118272	9	9
AACS	all	0.19671314263850692	-0.03253747348558242	10	10	0.8159628165544466	0.023324968952834712	10	10	0.6757434384930329	-0.04758710581957834	10	10	0.02903694738195222	0.2326988966679324	10	10	0.7982243770265369	0.22331519739045172	10	10	0.19457119214101048	0.2406912368220575	10	10	0.01600833870987623	0.4513678197704279	10	10	0.25564406744111756	0.5871048783229151	10	10	0.07584249673195101	0.6721592371198336	10	10
AATF	all	0.00895218335914643	-0.17094033164135472	10	10	0.03283351212928177	-0.1260878314905371	10	10	0.011332652792485933	-0.1485140815659459	10	10	0.2303392418568232	-0.08365304558546265	8	8	0.5142396417769276	-0.11418981286731678	8	8	0.12820976057224867	-0.07195552735389506	8	8	0.010993053990225562	-0.8096381065954218	10	10	0.1180112031212413	-0.8062400553207486	10	10	0.010448592671458888	-0.7542949012603127	10	10
ABCA1	all	0.2922144871490471	-0.01331742797177785	10	10	0.22648527515810402	-0.023146691839397802	10	10	0.9182118649162754	-0.013831771933363476	10	10	0.2831510125940485	0.08336504532041966	10	10	0.01312346864776919	0.105064819782322	10	10	0.03021245688759675	0.10655257594157876	10	10	0.1598269158125063	0.2558045763319332	10	10	0.07731798162781889	0.2579637600362779	10	10	0.03369318334927674	0.27886502802206337	10	10
ABCA13	all	0.3853906696041277	0.026482568557938405	10	10	0.26006903866101316	0.021007537331481887	10	10	0.11724020645045272	0.022523657098889455	10	10	0.07194332160577104	0.07775558163389933	10	10	0.5463249496678061	0.05055437616438078	10	10	0.1084149617458211	0.07042364424164811	10	10	0.0258048459117895	0.24137974520799702	10	10	0.1859800066358872	0.31278587286108367	10	10	0.030653616315523033	0.24626020598116538	10	10
